Name,Manufacturer,Brand,Condition,Price,Warranty_type,Warranty_time,Architecture,Max_resolution,Base_clock,Boost_clock,Memory_clock,Memory_size,Memory_type,Bus_width,Bandwidth,Cores,Length,Width,Height,Bus_interface,TDP,OpenGL,DirectX
Intel ARC 750 Limited Edition 8GB GDDR6,Intel,Intel,Đã qua sử dụng,5000000,Bảo hành hãng,30,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
Intel ARC 750 Limited Edition 8GB GDDR6,Intel,Intel,Mới,5500000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
ASRock Intel Arc A380 Challenger ITX 6GB OC GDDR6 A380-CLI-6GO,Asrock,Intel,Mới,3900000,Bảo hành hãng,36,Generation 12.7,7680x4320,2250,2450.0,1937,6.0,GDDR6,96,186.0,1024,190.0,124.0,39.0,PCIe 4.0 x8,75,4.6,12 Ultimate
Asrock Intel Arc A380 Challenger ITX 6GB,Asrock,Intel,Mới,3790000,Bảo hành hãng,36,Generation 12.7,7680x4320,2250,2450.0,1937,6.0,GDDR6,96,186.0,1024,190.0,124.0,39.0,PCIe 4.0 x8,75,4.6,12 Ultimate
VGA Intel ARC A750 Challenger 8GB DDR6,Intel,Intel,Mới,5900000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
VGA Intel Arc A750 8GB GDDR6 21P02J00BA,Intel,Intel,Mới,6490000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
Card màn hình Intel Arc A750 - 8GB DDR6,Intel,Intel,Mới,5999000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
VGA Intel Arc A750 Limited Edition 8GB GDDR6 (21P02J00BA),Intel,Intel,Mới,6290000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
Card màn hình Intel Arc A750 8GB - GDDR6,Intel,Intel,Mới,6390000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
VGA Intel Arc A750 Limited Edition 8GB GDDR6 (21P02J00BA) -MUA LẺ,Intel,Intel,Mới,6590000,Bảo hành hãng,36,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
